"id","title","authors","venue","year"
"Ghr7pV4pvFIJ","A normal form for XML documents, ACM Tans","M Arenas, L Libkin","Database Syst,",
"qG_4bfJpEO8J","Carbon and nitrogen compositions and physical characteristics of transition zone and lower mantle  ","MT Hutchison, P Cartigny, JW Harris","Proc. Int. Kimberlite Conf., 7th,",
"vk6Ok1wzMtEJ","Work allocation challenges and solutions in a large-scale work management environment","R Laithwaite","BT TECHNOLOGY JOURNAL,",1995
"kExokKTyni4J","Fast Timing Simulation for Submicron Hot-carrier Degradation","W Sun, E Rosenbaum, SM Kang","Time",
"dssprBSrl70J","On the speedup required for combined input and output queued switching, Computer Systems Lab","B Prabhakar, N McKeown","Technical Report CSL-TR-97-738, Stanford University,",
"UyTK0H86U60J","A unified approach to short-time Fourier analysis and synthesis","JB ALLEN, LR RABINER","IEEE, Proceedings,",1977
"url:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi%3Fcmd%3DRetrieve%26db%3DPubMed%26list_uids%3D15654735%26dopt%3DCitation","Ordering fullerene materials at nanometer dimensions.","DM Guldi, F Zerbetto, V Georgakilas, M Prato","Acc Chem Res,",2005
"url:http://portal.acm.org/citation.cfm%3Fid%3D223784.223880","Objects and SQL (panel session): strange relations?","DR Deutsch","Proceedings of the 1995 ACM SIGMOD international conference  &hellip;,",1995
"PNY_RsjsxvsJ","Deciding Equality Formulas by Small Domains Instantiations","A Pnueli, Y Rodeh, O Shtrichman, M Siegel","LECTURE NOTES IN COMPUTER SCIENCE,",1999
"HVIrvmhOTs4J","Performance expectation versus reality","LP van Speybroeck, D Jerius, RJ Edgar, TJ Gaetz, P ","Proc. SPIE,",1997
"AG1JJT4nB3IJ","Beds, mattresses and cushions for pressure sore prevention and treatment Cochrane","N Cullum, J Deeks, TA Sheldon, F Song, AW Fletcher","Database. Syst. Rev,",
"QpkRQzObCFwJ","Reliability of Quantum-Mechanical Communication Systems","WSL Jane","Technical Report 468, Research Laboratory of Electronics, ",
"Hz7TBeGZRz8J","andR. Rastogi. Querying and mining data streams: You only get one look","M Garofalakis, J Gehrke","Proceedingsof ACM SIGMOD,",
"url:http://portal.acm.org/citation.cfm%3Fid%3D984395.984397%26coll%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222","From the past secretary treasurer","JD Joyce","ACM SIGMOD Record,",1977
"jSBtu4dadZYJ","Distributed Sensor Networks for Detection of Mobile Radioactive Sources","RJ Nemzek, JS Dreicer, DC Torney, TT Warnock","IEEE TRANSACTIONS ON NUCLEAR SCIENCE,",2004
"ZTAEadgfVr8J","Core Java 1.1 Volume II Advanced Features Prentice Hall","C Horstmann, G Cornell",,1998
"aCQlZ23Mo1UJ","Refining Initial Points for KM Clustering","P Bradley, UM Fayyad","Microsoft Technical Report 98-36, May",
"m7lmw37FsFcJ","Early extubation for adult cardiac surgical patients","CA Hawkes, S Dhileepan, D Foxcroft","Cochrane Database Syst Rev,",2003
"url:http://portal.acm.org/citation.cfm%3Fid%3D509252.509288","Database machines","SYW Su, PB Berra, P Fisher, H Chang, S Schuster, G ","Proceedings of the 1978 ACM SIGMOD international conference  &hellip;,",1978
"vs_vdeyvgNQJ","Synovial hemangioma of the knee","J Forrest, TW Staple","Demonstration by arthrography and arteriography. AJR,",
"RvpHmv_qtTMJ","Staffing Policy as a Strategic Response: A Typology of Career Systems","JA Sonnenfeld, MA Peiperl","The Academy of Management Review,",1988
"OFGtGwUHhUQJ","Factorizing Complex Predicates in Queries to Exploit Indexes","S Chaudhuri, P Ganesan, S Sarawagi","SIGMOD Conference,",2003
"VOC4Yq0QCbsJ","Artificial Intelligence: Hype or Reality?","AA Hopgood",,
"nH_W3kzVq-4J","Adaptive filtering in the frequency domain","M Dentino, J McCool, B Widrow","Proc. IEEE,",
"hXLZldg4JtQJ","Settlement renaming in Turkish Cyprus'","S Ladbury, R King","Geography,",
"h-UhAGyMtYcJ","No Pervasive Computing without Intelligent Systems","SG Thompson, B Azvine","BT Technology Journal,",2004
"dorfEJGVRS4J","Learning to Select Good Title Words: An New Approach based on Reverse Information Retrieval","R Jin, AG Hauptmann",,
"SMvNYNln91gJ","The computational projection of ANSA","AJ Herbert","Acm Press Frontier Series,",1990
"VoOjQ4xjru0J","Issues in the Transmission of Monetary Policy","SN Brissimis, NS Magginas, GT Simigiannis, GS  ","Greeceâ??s Economic Performance and Prospects&quot;, Athens. Say  &hellip;,",
"yAQLeofWOd4J","ALightweight 3D HMD with Accommodative Compensation","T Sugihara, T Miyasato","Proc. 29th Soc. Information",
"YHqWRKR_lC8J","Performance Analysis of WHIPS Incremental Maintenance","Y Zhuge, H Garcia-Molina",,
"HjWHoqAXKhQJ","DIANA program version 2.1. Userâ??s manual and instructions","P GÃ¼ntert","ETH, Zurich, Switzerland,",
"TBDYjqsVHL4J","Inquiry into a Trading Center: The Case of the Cahokia Empire. Pull-Out 2.","JM Shiveley","Social Studies and the Young Learner,",1998
"aDvtrjOOEp4J","Object model in Java: elements and application","K Saleh","Information &amp; Software Technology,",1999
"38zuL6-4yKQJ","Transfusion thresholds and other strategies for guiding allogeneic red blood cell transfusion","SR Hill, PA Carless, DA Henry, JL Carson, PC  ","Cochrane Database Syst Rev,",2002
"5BREoJfEVQQJ","Cyber Warfare: Steganography vs. Steganalysis","H Wang, S Wang","COMMUNICATIONS-ACM,",2004
"qcJGwUsAi-EJ","NSTAT: A Model-based Real-time Network Intrusion Detection System","RA Kemmerer",,
"xYCtGPn_8yUJ","The Elastic Range of Friction","JS Rankin","Phil. Mag,",
"_Cc2laPJrjMJ","Durability Gap Analysis for Fiber-Reinforced Polymer Composites in Civil Infrastructure","VM Karbhari, JW Chin, D Hunston, B Benmokrane, T  ",,
"IbHWVcD_gFEJ","Focus on Folk Tales.","MG Hickey","Social Studies and the Young Learner,",1995
"JBkY7aIZNvMJ","Salmon.â??Avalon: An Alpha/Linux Cluster Achieves 10 Gflops for $150 k,â??","MS Warren, TC Germann, PS Lomdahl, DM Beazley, K  ","Proceedings, IEEE/ACM",
"url:http://portal.acm.org/citation.cfm%3Fid%3D15399%26dl%3DACM%26coll%3Dportal%26CFID%3D11111111%26CFTOKEN%3D2222222","Magic sets and other strange ways to implement logic programs (extended abstract)","F Bancilhon, D Maier, Y Sagiv, JD Ullman","Proceedings of the fifth ACM SIGACT-SIGMOD symposium on  &hellip;,",1985
"ShXp0F0h7Z4J","Mobile Computing and Databases: An ything New?,&quot;","MH Dunham, A Helal","SIGMOD",
"VkBiVwnSpjkJ","Node Replacement in Hypergraphs: Simulation of Hyperedge Replacement, and Decidability of Confluence","R Klempien-Hinrichs","LECTURE NOTES IN COMPUTER SCIENCE,",1996
"mi4ZjIkzWPAJ","Chloride Binding Regulates the Schiff Base pK in Gecko P521 Cone-Type Visual Pigment","C Yuan, O Kuwata, J Liang, S Misra, SP Balashov,  ",,
"wFhZCEh5cL8J","On Rules, Procedures, Caching and Views","M Stonebrakerâ?¦","Proc. 1991 ACM-SIGMOD Conference on Management of Data,  &hellip;,",
"oQCongQd_g0J","Role theory, differential association, and compulsive crimes","DR Cressey","See Cavan,",
"tzoaMhrxM8gJ","Epilogue: A cautionary note about on-line assessment","RT Bothel","New Directions for Teaching and Learning,",2002
"l6vZ3Clr7zEJ","A Calixarene with Four Peptide Loops: An Antibody Mimic for Recognition of Protein Surfaces*","EA Chung, TK Venkatachalam, AW Czarnik","Acc. Chem. Res,",1991
"1sCrrCpioFAJ","Kardamomâ??a dataflow database machine for real-time applications","G von Bultzingsloewen, KR Dittrich","ACM SIGMOD Record,",1988
"FEZQOwkl34YJ","Shuffles Parallel Processing Data","IC Novel","Electronic",
"xj5IJ5VHA38J","Move to Single Global ERP System No Easy Task","C Stedman","ComputerWorld,",
"url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D32219%26type%3Dpdf%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222","Extending Relational Algebra and Relational Calculus with Set-Valued Attributes and Aggregate  ","A Functions","ACM Transactions on Database Systems,",1987
"0YTjrIdzTqEJ","Transformation: The Missing Link of MDA","A Gerber, M Lawley, K Raymond, J Steel, A Wood","LECTURE NOTES IN COMPUTER SCIENCE,",2002
"OCY3JdfGJasJ","Electronic payment systems","PA Putland, J Hill, D Tsapikidis","BT Technology Journal,",1997
"FNNOYOClKzwJ","FB: An efficient scheduling policy for edge routers to speedup the internet access","I Rai, G Urvoy-Keller, E Biersack","Unpublished",
"LyaiATmCt6AJ","BGP-CT: A First Step Towards Fast Internet Fail-Over","M Musuvathi, S Venkatachary, R Wattenhofer, C  ",,2000
"gIwqyGGuI70J","A method for interactive articulation of information requirements for strategic decision support","L Sun, K Liu","Information &amp; Software Technology,",2001
"1hhqPWm6zVMJ","An auditory model based transcriber of singing sequences","LP Clarisse, JP Martens, M Lesaffre, B De Baets, H ",,
"v7nrD323OdAJ","Radial Diffusion Coefficients of Galactic and Anomalous Cosmic Rays in the Heliosphere.","Z Fujii, FB McDonald","Proc. 26th Int. Cosmic Ray Conf,",1999
"O8wk89boyrwJ","Frequency and power windowing in tissue interactions with weak electromagnetic fields","WR ADEY","IEEE, Proceedings,",1980
"url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1086262%26type%3Dpdf","Rialto: a Bridge between Description and Implementation of Control Algorithms for Wireless Sensor  ","A Bonivento, LP Carloni, A Sangiovanni-Vincentelli","Proceedings of the 5th ACM international conference on  &hellip;,",2005
"url:http://portal.acm.org/citation.cfm%3Fid%3D645927.672185","Collaborative Analytical Processing-Dream or Reality?(Panel abstract)","WO'Connell, A Witkowski, G Graefe","Proceedings of the 27th International Conference on Very  &hellip;,",2001
"F6Z7pPHX4QkJ","Groups as agents with mental attitudes","G Boella",,
"hNcWkCpCZ04J","The treatment of attention-deficit/hyperactivity disorder: an evidence report. Agency for Healthcare ","AR Jadad, M Boyle, C Cunningham, M Kim, R Schachar","MD,",
"OmmFvfvPT6MJ","A survey of approaches to automatic schema matching","E Rahm, PA Bernstein","The VLDB Journal The International Journal on Very Large  &hellip;,",2001
"url:http://ieeexplore.ieee.org/iel3/4040/11586/00527322.pdf%3Farnumber%3D527322","20th Conference on Local Computer Networks","C Los Alamitos","Computer Networks,",1995
"p-YxaNU1qvwJ","The Handheld that Beams","B Brown","PC Magazine,",
"WOJ-WbwP8_YJ","New Tasks for Teachers: The Changing Personnel.","RE Eckert","New Directions for Higher Education,",1973
"url:http://links.jstor.org/sici%3Fsici%3D0146-4949(196124)2%253A1%253C5%253AKITBRM%253E2.0.CO%253B2-5","Kings in the Back Row: Meaning through Structure. A Reading of Salinger's&quot; The Catcher in the Rye&quot;","CF Strauch","Wisconsin Studies in Contemporary Literature,",1961
"TWdPOTh2GuMJ","A methodology for designing toolkits for specification level verification of interval-constrained  ","SM Schorling, DC Rine","Information &amp; Software Technology,",
"k8bn5yxqOIQJ","Three approaches to the study of psychotherapy: process, outcome and change.","TM Tomlinson",,1963
"YqoDLhAjTqQJ","Analysis of wildlife radio-tracking data: Academic Press","GC White, RA Garrott","San Diego, California,",
"8210LPnuMb0J","TCP Nice: A Mechanism for Background Transfers","A Venkataramani, R Kokku, M Dahlin","ACM SIGOPS Operating Systems Review,",2002
"I7KOeYTSCAUJ","Constructions and bounds for splitting systems","D Deng, DR Stinson, PC Li, GHJ van Rees, R Wei",,
"Zgi7AqRx3YgJ","Adaptive self-optimising pole shifting control algorithm","OP Malik",,
"url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DN9210374AH","Gate matrix optimization using simulated annealing(Abstract Only)","H RAITTINEN, J NIITTYLAHTI, K KASKI","Oulu Univ, Proceedings of the 25 th Annual Conference of the &hellip;,",1991
"KOWjv5ZNfdUJ","Results from two years of owl surveys in the Chequamegon/Nicolet National Forest","A Paulis",,2002
"WO5MBG3vzjAJ","Making database systems fast enough for CAD applications","D Maier","Acm Press Frontier Series,",1989
"578JkKC8KI0J","Simulation of the Impact on Water of a Sub-Floor Component and Full-Scale WG30 Helicopter, 58 thAHS  ","N Pentecote, A Vigliotti","Montreal, Canada, June,",
"dwau8aoW75gJ","Learning Strategies for Learning Technologies","CH Olgren","New Directions for Adult and Continuing Education,",2000
"URBTNMz6sd4J","Dealing with Heterogeneity in Stardust: An Environment for Parallel Programming on Networks of  ","G Cabillic, I Puaut","LECTURE NOTES IN COMPUTER SCIENCE,",1996
"srlOf9f5NKcJ","The Oceans Asia Publishing House","SHUJ MW, RH Fleming","Bombay India p,",
"4GpLahYV1NcJ","Robert Alexander Falla (1901â??1979), KBE, CMG, MA","RK Dell",,1980
"_Xm5aN54qV4J","A., Ellis, John R., Ruttenberg, John. C., and Nicolau, Alexandru. Parallel processing: A smart  ","J Fisher","Proc. ACM",
"Tagq11E6HfAJ","An Overview of Data Warehousing and OLAP Technologies","S Chaudhuri, U Dayal","ACM SIGMOD Record,",
"3jKw2eTg_gQJ","Auditory representations in phonology","ES Flemming",,2002
"APDiRoCdqM8J","Tree queries: a simple class of relational queries","N Goodman, O Shmueli","ACM Transactions on Database Systems (TODS),",1982
"GsgRxg-8wQ8J","John Hopkins Press: Baltimore","B Mc Elroy","MD,",
"uQi5Hv2Aot0J","What is a â??largeâ?? number of parameters in robust systems?","J Ackermann, W Sienel",,
"AkSS_W-hbvcJ","A DBMS Prototype to Support Extended NF 2 Relations: An Integrated View of Flat Tables","P Dadamâ?¦","Proc. of the 1986 SIGMOD",
"xZ224ApNa18J","Bilateral Filtering for Gray and Color Images&quot;, Int'l Conf","C Tomasi, R Manduchi","Comp. Vis., Bombay, India,",
"Xlnm6z5a8VcJ","ISDL: Instruction Set Description Language Version 1.0","G Hadjiyiannis",,
"lkHaZM8hwSAJ","No. 1790; Health and Safety. 7KH  1RLVH  DW : RUN  5HJXODWLRQV        HMSO London","S Instruments","ISBN,",
"eSPpim_OX4QJ","The ClustRa Telecom Database","S Hvasshovdâ?¦",,1995
"gm1Musm9i7QJ","ActiveX Inside/Out","A Denning","Microsoft",
"q_7hmFecxygJ","Operator scheduling in data stream systems","B Babcock, S Babu, M Datar, R Motwani, D Thomas","The VLDB Journal The International Journal on Very Large  &hellip;,",2004
"vbvO-dB6wiIJ","  a Fast Algorithm for Indexing, Data-Mining and Visualization of Traditional and Multimedia Datasets ","C Faloutsos, K Lin","Management of",
"wT0_1yaYHg0J","Location-aware data broadcasting: an application for digital mobile broadcasting in Japan","K Matsumura, K Usui, K Kai, K Ishikawa","Proceedings of the eleventh ACM international conference on  &hellip;,",2003
"Ogsskc_BcvcJ","Acquisition Method of Ground Control Points For High-Resolution Satellite Imagery","T KADOTA, M TAKAGI",,
"HSJROCQZQDEJ","Context and Collective Action: Four Interactive Building Blocks for a Family of Explanatory Theories","E Ostrom","Unpublished manuscript,",1999
"R0xUZUxSGmwJ","Indexing multimedia databases","C Faloutsos","Proceedings of the 1995 ACM SIGMOD international conference  &hellip;,",1995
"url:http://links.jstor.org/sici%3Fsici%3D0146-4949(196721)8%253A2%253C312%253AANAAC%253E2.0.CO%253B2-H","A Note and a Checklist","JR Bryer","Wisconsin Studies in Contemporary Literature,",1967
"bI-tgl1emMoJ","On the Modes and Meaning of Feedback to Transaction Designers","DW Stemple, S Mazumdar, T Sheard",,
"CVUC4Rc5JU8J","Data Warehouse Configuration","D Theodoratos, T Sellis","VLDB,",1997
"5Jv-lyzNei8J","Darboux transformations and solitons","VB Matveev, MA Salle",,1991
"zNAfqj7wYMQJ","With: Microsoft unveils Java converter kit","W Kilburn","APPLICATION DEVELOPMENT TRENDS,",2003
"duBZxxrLlx8J","Impact of Cyclosporine Dose on Long-Term Outcome After Heart Transplantation","H Valantine, S Hunt, P Gamberg, J Miller","TRANSPLANTATION PROCEEDINGS,",1994
"url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D99949%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222","The hB-Tree: A Multiattribute Indexing Method with Good Guaranteed Performance","B SALZBERG","ACM Transactions on Database Systems,",1990
"elvW-y3JKQsJ","Organizational Differences in Managerial Compensation and Financial Performance","B Gerhart, GT Milkovich","The Academy of Management Journal,",1990
"url:http://portal.acm.org/citation.cfm%3Fid%3D1007568.1007720","Rethinking the conference reviewing process","MJ Franklin, J Widom, A Ailamaki, PA Bernstein, D  ","&hellip;  of the 2004 ACM SIGMOD international conference on  &hellip;,",2004
"GJtc6TCE-hIJ","A survey of approaches to automatic schema mapping","E Rahm, PA Bernstein","The VLDB Journal,",
"Qyeg-VuH-2kJ","An Adaptive Peer-to-Peer Network for Distributed Caching of OLAP Results","CWB Technology, HK Kowloon",,
"xflZFIdvkTsJ","The kinetics of capillary rise","E Rideal","Phil. Mag,",
"VDh6yZfAk3UJ","SEER Cancer Statistics Review 1973-1990, National Cancer Institute. Bethesda","BA Miller, LAG Ries, BF Hankey, CL Kosary, A  ","MD,",
"3Pcywk9-DWcJ","ARIES/lM: An Efficient and High Concurrency index Management Method Using Write-Ahead Logging","C MOHAN, F LEVINE","Proceedings of the 1992 ACM SIGMOD International Conference  &hellip;,",1992
"z3bQivI6KFgJ","Sparking potentials at ultra-high frequencies","J Thomson","Phil. Mag,",
"fSS9mpoCKfUJ","To Double Business Bound.","JZ Smith","New Directions for Higher Education,",1994
"E8W591D4SOAJ","Social Loafing: A Meta-Analytic Review and Theoretical Integration","SJ Karau, KD Williams","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993
"LvRCrl-Ck0kJ","How important are&quot; entry effects&quot; in financial incentive programs for welfare recipients?:  ","DE Card, PK Robins",,
"fsqVg6S3uAcJ","Applied statistics: a handbook of techniques","L Sachs",,1982
"aDg5-clSNgAJ","Saturation in Electrical Machines'","HCJ Jong","&hellip;  Conference en Electrical Machines, Athens, Greece,  &hellip;,",
"s0B8XAqafz8J","The biogenesis of mitochondria in HeLa cells: a molecular and cellular study","G Attardi, P Constantino, J England, D Lynch, W  ","See Ref,",
"url:http://adsabs.harvard.edu/abs/1978PhDT........18J","Neutrinos and long-range weak forces in cosmology","VB Jhangiani","Ph. D. Thesis California Univ., Santa Barbara.,",1978
"aKPlDMXvHT8J","BOn the semantics of Bnow^ in databases","J Clifford, CE Dyreson, T Isakowitz, CS Jensen, RT ","ACM Transactions on Database Systems, TODS,",
"Absjf7s7OQMJ","Burnout, depression, life and job satisfaction among Canadian emergency physicians","S Lloyd, D Streiner, S Shannon","JOURNAL OF EMERGENCY MEDICINE,",1994
"gL8Xm07m3xoJ","Voltage-Gated Potassium Channels in T Lymphocytes-Physiological Role and Changes in Channel  ","A Teisseyre","CELLULAR AND MOLECULAR BIOLOGY LETTERS,",1996
"QXnCAKIPfqsJ","A characterization of robust sunspot equilibria","R Garratt, T Keister",,
"aO2piAqNIP0J","Indexing and retrieval strategies for natural language fact retrieval","JL Kolodner","ACM Transactions on Database Systems,",1983
"ixeIJYOug0QJ","OO Oversold","A Evans","Information and Software Technology,",
"url:http://adsabs.harvard.edu/abs/1988mit..reptQ....G","Development of a new wall shear stress gauge for fluid flows","Y Gur, P Leehey",,1988
"1-bffnwqlTYJ","Enhanced Spot Noise for Vector Field Visualization","WC de Leeuw, JJ van Wijk","Proceedings Visualization,",1995
"4Z0rrS6kjS8J","Improved current-gain cutoff frequency and high gain-bandwidth amplifiers in transferred-substrate  ","D Mensa",,1999
"GyhnzPMUQKAJ","Guest editorial: Introduction","LD Dierking, LMW Martin","Science Education,",
"Rzf103t-dzYJ","Handling fuzzy priority rules in a job-shop scheduling system","G Bel, E Bensana, D Dubois, JL Koning","3rd IFSA, Seattle, Washington, USA. August,",
"cS8_6Qp-JYUJ","and D. Shasha P. Oâ??Neil. The dangers of replication and a solution","JN Gray, P Helland","Proceedings of the 1996 ACM SIGMOD International Conference ",
"Pj7CJGhxagwJ","Comparison of interface state density in MIS structure using deduced DLTS and Terman measurements","E Rosenecher, D Bois","Electronic Letters,",
"1Kcd4c0MtS0J","Localization at epimorphisms and quasi-injectives","J Lambek","to",
"Ip4hJDb3ypYJ","The Conference Control Channel Protocol (CCCP): A scalable base for building conference applications","M Handley, I Wakeman, J Crowcroft","Proc. ACM",
"H1Cojiga-rcJ","Evaluating R&amp;D performance at Alcoa Laboratories.","WC Patterson","Research Management,",
"AKPMnZRENLQJ","Prefetching in realtime database applications","H Wedekind, G Zoerntlein","Proceedings of the 1986 ACM SIGMOD international conference  &hellip;,",1986
"PAcS8vELrawJ","FA: Building light-weight wrappers for legacy web datasources using w4f","A Sahuguet","Proceedings of the International Conference on Very Large ",
"EEU1kB_d3tsJ","Efficient? Become superefficient","K Melymuka","Computerworld,",
"LAlOwkXenwcJ","Darwin and cross-cultural studies of facial expression","P Ekman","See Ref,",
"dnm2eTSz0M0J","Acoustics of classrooms in Brazilian Public Schoolsâ??A case study in Curitiba","PHT Zannin, CP Loro","Proceedings of the Seventh CongrÃ¨s FranÃ§ais d&#39;Acoustique  &hellip;,",
"xA84UiVi1DMJ","Asynchronous Parallel Branch and Bound and Anomalies","A De Bruin, GAP Kindervater, H Trienekens","LECTURE NOTES IN COMPUTER SCIENCE,",1995
"oNYOKYvjoKgJ","DeeDS Towards a Distributed and Active Real-Time Database System","S Andler, J Hansson, J Eriksson, J Mellin, M  ","SIGMOD Record,",1996
"2uY_p9F8UIAJ","The Polynomial Complexity Class with Active Membranes","MJ Perez-Jimenez, A Romero-Jimenez, F Sancho- ",,
"_CSxXMt8mBMJ","K. Konolige,â??â??Blending reactivity and goal-directidness in a fuzzy controllerâ??â??","A Saffioti, EH Ruspini","Procs. of the Second IEEE Conf. on Fuzzy",
"Osg19OKTmyoJ","Strategic Factor Markets: Expectations, Luck, and Business Strategy","JB Barney","Management Science,",1986
"url:http://portal.acm.org/citation.cfm%3Fid%3D592093.592144","Editorial by SP Sim and NJ Davies","NJ Davies, SP Sim","BT Technology Journal,",1997
"-ibnAtozEzgJ","Measuring endogamy","AK Romney","See Ref,",
"WJRtE4qUuSQJ","Energy of hydrogen bonds and shift of the bands of the stretching vibrations. of the C= O groups","BA Zadorozhnyi, IK Ishchenko","Opt. i Spektr,",
"NWhZIUiSVAIJ","Arousal and attraction: A response-facilitation alternative to misattribution and negative- ","JB Allen, DT Kenrick, DE Linder, MA McCall","Journal of Personality and Social Psychology,",
"-FOJZJj6NLEJ","Updating XML","I Tatarnov, ZG Ives, AY Halevy, DS Wed","Proceedings of SIGMODâ??01,",
"XabEiBSE1WMJ","Predicting bottleneck bandwidth sharing by generalized TCP flows","A Misra, T Ott, J Baras","Computer Networks,",2002
"j1Si2l-S9pgJ","Inside Window NT","H Custer",,1993
"okSXCoQ76_IJ","Data Management Facilities of an Operating System Kernel","H Diel, G Kreissig, N Lenz, M Scheible, B Schoener","ACM SIGMOD Record,",1984
"url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D20021211035204MT%26recid%3DA7536966AH","Flight test of ARN-99/V/2 Omega Navigation Set in F-4 aircraft","EJ SMITH","Omega Symposium, 2 nd, Washington, D. C, Proceedings,",1974
"7SN6BWlVpU0J","Accelerate FPGA Macros with One-Hot Approach","SK Knapp","Electronic Design,",
"2VpRW4Tf08EJ","andD. Srivastava. HolisticTwigJoins: OptimalXMLPatternMatching","N Bruno, N Koudas","Proc. of the ACM SIGMOD Int. Conf. on Management of",
"6Qa1s0lKblMJ","A multiple criteria decision support system with considering userâ??s preference","W Liu, YZ Lu","Proceeding of 98 International Conference on Management  &hellip;,",
"boGiu_rNI-YJ","How to teach pivotal behaviors to children with autism: A training manual","RL Koegel, A Good, L Cerniglia, C Murphy, LK  ",,
"jJn2q74GhMYJ","Theory of Molecular Liquids","CG Gray, KE Gubbins","Vol. I, Fundamentals,",
"ifEmWltyZ-oJ","KODAMA: mischievous echoes","H Yamakawa","Proceedings of the 13th annual ACM international conference  &hellip;,",2005
"gSxAP6UaPTUJ","Quadratic optimal control of regular well-posed linear systems, with applications to parabolic  ","JS Olof",,1998
"8qBEoKHjeg0J","Astron. &amp;Astrophys","MP Redman, RJR Williams, JE Dyson, TW Hartquist,  ",,1997
"P7XSIM78VSkJ","Ohio University's Multidimensional Institutional Impact and Assessment Plan","AM Williford","New Directions for Higher Education,",1997
"R5O6icANpcwJ","Patterns for application firewalls","N Delessy-Gassant, EB Fernandez, S Rajput, MM  ","Procs. of PLoP",
"IZY3L38C6p8J","US Firms Look North for Outsourcing Help","J Viyayan","Computerworld,",
"Qaq3cJeXaR4J","Substitution dynamical systems, Bratteli diagrams and dimension groups, Ergodic Th. and Dynam","F Durand, B Host, C Skau","Sys., to",
"TbOzJR9jaJAJ","Nonlinear adaptive torque-ripple cancellation for step motors","D Chen, B Paden",,
"rRFiy6fpXmUJ","Applying Traits to the Smalltalk Collection Classes","AP Black, N Scharli, S Ducasse",,
"YFIXfqGgvL8J","Towards a Richer Web Object Model.","ACMS Anthology","SIGMOD Record,",1998
"gIMus2K4DkEJ","Coexistence and Transformation of Data","ED Falkenberg","VLDB,",1977
"z6p4-BDhro0J",162,"SI Architekten-Verein, SIA Betonbauten","Zurich, Switzerland,",
"mCOShH9JhNMJ","Khim","TS Sokolova, LI Klimova, ZA Yaroslavtseva, EM  ","Volokna, No. I,",
"1DQ24XICaxwJ","Incremental Maintenance of Schema-Restructuring Views","A Koeller, EA Rundensteiner",,
"PbPCf78sARsJ","Sensory-Motor Fusion Architecture Based on High-Speed Sensory Feedback and Its Application to  ","A Namiki, M Ishikawa",,
"u0zrjkEEjKYJ","Satellite co-polar measurements at BT Laboratories","RG Howell, JW Harris, M Mehler","BT TECHNOLOGY JOURNAL,",1992
"KB6CSiY-xKkJ","The history of mental hygiene","A Deutsch","See Ref,",
"EQrPZJv31YcJ","Deadlock Detection in Distributed Databases","R Culler",,
"2WQQcgXW2BAJ","MorphMix: Peer-to-Peer based Anonymous Internet Usage with Collusion Detection","M Rennhard",,
"g7JjvwFO2MUJ","Indian Materia Medica, vols 1 and 2","KM Nadkarni","Popular Prakashan, Bombay, India,",
"L5EsSmhRaAAJ","Appreciating Diverse Learners in the Social Studies Classroom. Children's Literature.","T McGowanâ?¦","Social Studies and the Young Learner,",1995
"gHdsF8eCx1cJ","Conceptual crossroads: Methods and ethics in ethnographic evaluation","DM Fetterman","New Directions for Program Evaluation,",1986
"v0PA9TFmxgsJ","I Am. Chem. Soc. 1999, 121, 4982; g) SE Denmark, RA Stavenger","SE Denmark","Acc. Chem. Res,",
"8A_9ucHRXyIJ","Anad Rajaraman. Implementing Data Cubes Efficiently","V Harinarayan",,
"hFPNVe44A04J","Constructing and integrating data-centric Web applications: methods, tools, and techniques","S Ceri, I Manolescu","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003
"url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D223883%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222","Integration Approaches for CIM","MC Norrie",,
"4wQ_WVSThvQJ","Conceptualizing and Measuring Organizational and Psychological Climate: Pitfalls in Multilevel  ","WH Glick","The Academy of Management Review,",1985
"6qbwWaRW6N8J","Granularity hierarchies in concurrency control","MJ Carey","Proceedings of the 2nd ACM SIGACT-SIGMOD symposium on  &hellip;,",1983
"NyPmlzkK4M8J","On the Complexity of Mining Quantitative Association Rules","J Wijsen, R Meersman","Data Mining and Knowledge Discovery,",1998
"P3OrPlQUeLIJ","Harnessing perception of image quality to guide graphics rendering","E Horvitz, J Lengyel, K Larson, M Czerwinski","Technical Report Microsoft Research Technical Report MSR-TR-97-",
